Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
27,Maharashtra,1389687,800820,1213488,1213576,1398033,845165,373799,1218964,1405014,868912,354968,1223880,1409335,911723,319812,1231535,1413902,853535,383077,1236612,1416919,768333,475489,1243822,1419473,836609,413502,1250111,1415447,998265,260052,1258317,1379433,856173,412179,1268352,1370415,1000210,273980,1274190,1375391,943366,337245,1280611,1380633,64155,1215716,1279871
29,Karnataka,708544,437287,627302,627357,707340,464963,166658,631621,710827,476857,159571,636428,713357,506954,137073,644027,709504,479455,170167,649622,709880,434314,220271,654585,716349,466546,194818,661364,718037,552970,114655,667625,723207,474443,200890,675333,726054,556486,124092,680578,731853,549635,136209,685844,734800,55406,630205,685611
30,Goa,33353,17206,28561,28572,33480,18371,10328,28699,33757,18735,10093,28828,34090,19770,9278,29048,34201,18287,10887,29174,34397,16764,12570,29334,34642,18296,11289,29585,34765,21249,8513,29762,35044,18472,11580,30052,35365,21905,8376,30281,35756,21313,9211,30524,36052,2018,28547,30565
31,Lakshadweep,213,78,161,161,216,77,87,164,219,87,78,165,224,91,78,169,229,89,83,172,229,83,89,172,235,82,96,178,241,108,74,182,247,88,100,188,250,107,84,191,253,102,91,193,261,21,179,200
32,Kerala,292296,157526,263483,263494,292465,170827,94395,265222,295913,177080,89772,266852,298709,188243,81162,269405,300746,159523,112046,271569,301836,149988,122946,272934,303421,170691,104432,275123,303850,214813,62560,277373,302709,172320,106910,279230,301724,210240,70406,280646,302553,198695,83534,282229,304085,11285,272165,283450
33,Tamil Nadu,876798,520806,762739,762788,885438,551534,216518,768052,894344,566944,205597,772541,899235,609457,169897,779354,900188,558796,226589,785385,900385,512518,277422,789940,896586,563810,232006,795816,888836,665525,136108,801633,877850,553538,255726,809264,870770,672358,141117,813475,867846,657056,162882,819938,876639,50323,772492,822815
34,Puducherry,20906,11355,17282,17283,20875,12002,5343,17345,20879,12169,5226,17395,21076,13013,4491,17504,21069,12021,5550,17571,21025,11043,6673,17716,20898,11964,5886,17850,20773,14446,3420,17866,20391,11552,6393,17945,19656,14448,3538,17986,19500,14061,3997,18058,19681,1443,16658,18101
35,Andaman and Nicobar Islands,3739,1253,3341,3345,3772,1257,2092,3349,3826,1292,2083,3375,3887,1405,1988,3393,3955,1262,2151,3413,3994,1229,2201,3430,4062,1223,2246,3469,4104,1782,1724,3506,4090,1470,2058,3528,3783,1809,1717,3526,3822,1626,1930,3556,3877,139,3434,3573
36,Telangana,322065,167798,275094,275123,324349,180031,97606,277637,327844,187115,92126,279241,331330,203099,80086,283185,334631,186734,99239,285973,337626,164671,124208,288879,342262,182652,109683,292335,346374,224112,71863,295975,350234,186949,113389,300338,351952,225453,77544,302997,353580,221606,84270,305876,357819,28527,277974,306501
37,Andhra Pradesh,280184,157948,241970,241990,279810,169929,73340,243269,281946,177091,67795,244886,285278,191174,56126,247300,286753,174695,74020,248715,287263,151437,98239,249676,287909,170765,80720,251485,286336,207039,46690,253729,286760,174016,81930,255946,287132,204971,51613,256584,284734,201692,55832,257524,283250,23456,233417,256873
38,Ladakh,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,2690,  ,2771,12,2783,    ,    ,2903,2903
97,Other Territory,68,47,54,54,68,48,6,54,71,48,9,57,74,50,9,59,75,48,12,60,76,50,10,60,77,49,12,61,78,56,6,62,76,40,22,62,77,53,11,64,79,54,11,65,81,11,56,67
