Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
30,Goa,16168,8365,2099,10464,16758,8307,2234,10541,29346,18231,7636,25867,16933,7953,2848,10801,16723,7494,3420,10914,30576,14192,12580,26772,16399,3936,7142,11078,16366,4535,6641,11176,31956,6255,21364,27619,16274,4837,6515,11352,16105,4792,6591,11383,33254,6210,21896,28106
31,Lakshadweep,230,43,35,78,232,43,33,76,277,77,83,160,234,40,40,80,232,35,44,79,281,47,115,162,230,24,61,85,228,27,67,94,203,33,114,147,142,26,49,75,144,26,51,77,210,37,109,146
32,Kerala,164412,108519,26285,10340804,169073,107917,28797,10360714,263762,173277,67551,20400828,173127,99360,40358,10390718,173204,87290,53454,10400744,273181,103521,10450096,20480617,172895,31176,10120052,10430228,173328,36946,10070238,10440184,281909,49387,20050798,20550185,172382,43209,10020860,10460069,172548,41236,10050282,10460518,291194,51962,20070865,20590827
33,Tamil Nadu,613309,374752,75828,40500580,630477,376069,80980,40570049,852643,519518,10630490,60830008,651946,364122,10030172,40670294,654087,343627,10270682,40710309,882248,411848,20940523,70060371,638043,121527,30580147,40790674,632207,163105,30180100,40810205,865402,207373,50140186,70210559,609881,168195,30190859,40880054,594974,156009,30340381,40900390,867754,181112,50530190,70340302
34,Puducherry,13982,8169,2159,10328,14404,8154,2321,10475,19723,11471,4427,15898,14633,7776,2901,10677,14669,7222,3500,10722,20242,8912,7463,16375,14593,3066,7858,10924,14469,3653,7246,10899,20448,4390,12206,16596,14203,3593,7341,10934,14123,3678,7282,10960,20839,4212,12461,16673
35,Andaman and Nicobar Island,3696,950,839,1789,3764,930,891,1821,4559,1366,1780,3146,3703,815,1022,1837,3598,720,1118,1838,4663,847,2356,3203,3564,229,1619,1848,3500,284,1578,1862,4471,397,2829,3226,3008,323,1561,1884,2630,328,1533,1861,3923,435,2738,3173
36,Telangana,193853,112512,32437,10440949,201424,112168,35208,10470376,282140,160831,71893,20320724,209233,105982,45843,10510825,210486,97470,56239,10530709,298180,117145,10260662,20430807,213000,36273,10210141,10570414,211412,43352,10150061,10580413,305678,65550,10860023,20510573,207845,50463,10100576,10610039,209739,47462,10140464,10610926,319463,50023,20060865,20560888
37,Andhra Pradesh,171611,110358,22057,10320415,177364,110756,23626,10340382,252576,156139,53275,20090414,182214,105651,31805,10370456,179895,95579,43154,10380733,256988,110066,10070884,20170950,177277,37530,10040535,10420065,180013,45720,98176,10430896,268317,66023,10610905,20270928,180726,50888,95907,10460795,181857,46429,10010073,10470502,279089,43278,10880969,20320247
38,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Other Territory,48,36,2,38,50,37,2,39,60,45,3,48,56,43,2,45,56,42,3,45,62,43,5,48,56,34,10,44,56,37,7,44,62,33,14,47,58,39,6,45,60,45,2,47,66,38,12,50
