State,Code,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
26,Dadra and Nagar Haveli,8236,3295,1006,4301,7705,3191,1141,4332,8277,4510,3108,7618,10430,1687,2734,4421,11357,3151,4353,7504,14364,8827,4149,12976,9452,4051,3545,7596,9245,4161,3466,7627,14477,10814,2408,13222,10244,5615,3406,9021,10219,5981,3142,9123,13967,8838,4527,13365
27,Maharastra,1377801,243750,10580717,40020467,1292614,230132,10720677,40020809,1376699,483334,70390123,120220457,745641,107818,30000412,40080230,686690,135661,20740949,40100610,1408098,737066,50060683,120430749,587071,169307,20460619,40150926,562582,183019,20360571,40190590,1406326,948488,30300764,120790252,685313,269508,30300258,50990766,667446,310190,30030102,60130292,130630993,60530465,60510159,130040624
29,Karnataka,732776,283703,10230908,40070611,674591,265798,10450538,40110336,737436,299151,30420515,60410666,540612,89693,30280282,40170975,536259,116429,30050158,40210587,768520,434938,20220265,60570203,524373,148973,20800524,40290497,516478,159373,20750794,40350167,769503,536807,10410868,60780675,526610,207855,20520783,40600638,525208,223519,20450545,40690064,70650317,30470169,30560054,70030223
30,Goa,35971,8714,4165,12879,32261,8150,4781,12931,35630,13986,15435,29421,23074,4118,8935,13053,22269,4755,8317,13072,36289,18702,10981,29683,20568,5691,7581,13272,20258,6052,7317,13369,36918,22521,7896,30417,23527,7394,9995,17389,22628,8005,9577,17582,35459,14325,16503,30828
31,Lakshadweep,261,71,42,113,248,63,49,112,266,69,125,194,232,37,79,116,238,41,78,119,289,92,116,208,226,45,79,124,223,55,73,128,275,125,82,207,225,56,107,163,222,62,104,166,272,68,145,213
32,Kerala,303334,115921,57558,10730479,287028,101692,72454,10740146,303033,106886,10650247,20720133,226941,26862,10500227,10770089,224663,47725,10310641,10790366,313197,193286,86174,20790460,217708,92423,91502,10830925,217966,98893,88088,10860981,320883,236812,53029,20890841,237287,108630,10030226,20110856,231690,114882,99574,20140456,30140391,10510488,10460221,20970709
33,Tamil Nadu,875149,414691,10710971,50860662,834053,381081,20090750,50900831,879453,396084,30880646,70840730,738453,119368,40830838,60030206,740008,183117,40250602,60080719,928683,592518,20160588,80090106,734303,247159,30730923,60210082,728636,273421,30550395,60280816,923873,701607,10360651,80380258,726271,336997,30230434,60600431,715104,358758,30090814,60680572,90100875,40690211,30940626,80630837
34,Puducherry,19641,9026,3340,12366,18257,8164,4195,12359,19399,8800,8123,16923,15746,3064,9561,12625,15724,3876,8843,12719,20172,11826,5399,17225,15422,5214,7707,12921,15413,5748,7306,13054,20149,14250,3420,17670,15728,6751,7207,13958,15666,7238,6859,14097,19723,9293,8756,18049
35,Andaman and Nicobar Island,3848,1018,1066,2084,3734,955,1130,2085,3825,1137,2240,3377,3160,246,1874,2120,3114,403,1714,2117,3868,1474,1931,3405,3008,477,1669,2146,2995,538,1627,2165,4014,2186,1320,3506,3140,784,1901,2685,3100,829,1882,2711,3984,1182,2430,3612
36,Telangana,356902,129954,60753,10900707,334097,121851,70050,10910901,358237,136097,10480006,20840103,284869,37224,10580544,10950768,281986,48092,10490382,10970474,371659,176167,10150491,20910658,277254,58039,10430546,20010585,276584,61892,10420819,20040711,381213,227185,77750,30040935,286200,84376,10390626,20240002,282748,89799,10380208,20280007,30720165,10270888,10880140,30160028
37,Andhra Pradesh,282260,117881,48981,10660862,264867,108710,58440,10670150,281786,111413,10280861,20400274,221339,30291,10390670,10690961,220187,42717,10280142,10700859,291802,160948,83650,20440598,216277,54902,10190138,10740040,214950,61074,10150034,10760108,297340,202786,51783,20540569,215263,82991,99066,10820057,211125,83653,10000966,10840619,20900704,10170554,10440226,20610780
38,Ladakh,2812,262,237,499,2129,252,266,518,3108,954,1739,2693,1509,113,441,554,1439,124,454,578,3518,1180,1842,3022,1259,131,480,611,1219,187,435,622,3842,1914,1325,3239,1986,360,1119,1479,2072,436,1219,1655,4235,1073,2618,3691
97,Other Territory,81,55,4,59,77,54,5,59,81,59,7,66,75,33,27,60,75,51,9,60,82,61,5,66,75,51,9,60,75,49,11,60,81,61,6,67,74,45,17,62,75,54,9,63,81,63,6,69
