State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
8, RAJASTHAN,2018,9,53640,1211954,276833215486,42233,1163349,274000000000,79987,978291,340000000000
9, UTTAR PRADESH,2018,9,91003,2673586,560029459801,63044,1193673,492000000000,144756,1849124,658000000000
10, BIHAR,2018,9,4389,203634,53591783100,5194,46994,19138050754,47213,616003,128000000000
11, SIKKIM,2018,9,104,2855,505665730,159,5834,18687996967,1455,24190,6834411657
12, ARUNACHAL PRADESH,2018,9,84,2016,224827323,165,1453,783533374,2166,20453,3942324538
13, NAGALAND,2018,9,53,534,267280449,201,1876,679623235,2109,19511,4022318991
14, MANIPUR,2018,9,44,2559,411772259,72,483,77742524,2131,22445,4902330438
15, MIZORAM,2018,9,18,677,80089258,65,389,798463218,1348,13081,3164678472
16, TRIPURA,2018,9,470,12527,1949335880,262,1965,1656650708,3945,32329,7395050674
17, MEGHALAYA,2018,9,232,8238,1633384519,325,21791,3889970320,2871,31647,6751031121
18, ASSAM,2018,9,9058,309467,63476461958,7443,128601,56436953952,24808,295020,86724483021
19, WEST BENGAL,2018,9,32950,1125767,346821657230,36623,655559,266000000000,55260,933346,361000000000
20, JHARKHAND,2018,9,7813,406476,92750242385,5863,195165,125000000000,23122,377826,113000000000
21, ODISHA,2018,9,10144,547059,122643623133,4614,189992,206000000000,25686,351460,138000000000
22, CHHATTISGARH,2018,9,4769,173198,58380199334,6703,159392,108000000000,21134,337836,119000000000
23, MADHYA PRADESH,2018,9,13401,285021,72615554745,17133,378409,183000000000,59724,715255,239000000000
24, GUJARAT,2018,9,59459,1433308,428860538910,107256,3424181,842000000000,108799,1285695,602000000000
25, DAMAN AND DIU,2018,9,935,28188,8597056230,1593,174737,48634399559,2154,73484,46507229139
