State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
2,HIMACHAL PRADESH,2022,1,"8,208","249,451","584,270.87","5,364","265,494","1,254,745.12","20,215","292,292","1,108,200.73"
3,PUNJAB,2022,1,"65,309","1,572,705","4,213,693.03","47,277","805,379","2,893,918.26","67,219","847,604","3,154,776.26"
4,CHANDIGARH,2022,1,"2,108","26,383","44,179.17","4,935","76,919","161,032.03","8,094","112,819","274,043.71"
5,UTTARAKHAND,2022,1,"12,805","566,884","1,082,895.02","8,722","337,486","1,817,770.48","24,914","450,589","1,579,000.30"
6,HARYANA,2022,1,"71,091","2,739,061","5,789,393.36","62,553","3,370,775","7,596,520.36","99,412","1,971,782","7,490,404.20"
7,DELHI,2022,1,"66,172","868,741","3,480,702.51","122,017","1,561,764","4,500,070.12","119,737","1,741,900","5,071,963.62"
8,RAJASTHAN,2022,1,"63,716","1,433,609","4,070,069.57","51,448","1,332,952","4,178,984.44","98,975","1,350,641","5,114,518.44"
9,UTTAR PRADESH,2022,1,"123,325","3,533,306","8,086,006.16","82,312","1,567,248","6,548,144.77","183,580","2,587,431","8,847,252.57"
10,BIHAR,2022,1,"7,879","467,463","1,002,741.00","7,991","92,005","389,076.77","56,417","714,501","1,741,582.75"
11,SIKKIM,2022,1,143,"6,940","12,672.10",184,"6,835","282,496.33","1,761","35,714","126,740.04"
12,ARUNACHAL PRADESH,2022,1,170,"2,601","5,366.68",219,"1,540","13,544.39","3,071","32,787","74,612.13"
