State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
5,UTTARAKHAND,2021,1,"11,683","575,397","9,935.27","8,222","347,057","17,405.23","23,364","474,102","14,292.05"
6,HARYANA,2021,1,"64,896","2,761,477","49,988.03","58,042","2,858,019","65,738.33","92,758","1,786,970","61,885.85"
7,DELHI,2021,1,"61,015","820,154","29,543.65","116,411","1,495,741","38,696.59","111,986","1,448,838","45,572.89"
8,RAJASTHAN,2021,1,"72,640","1,607,341","35,397.47","49,460","1,397,702","35,122.20","92,881","1,241,525","39,721.65"
9,UTTAR PRADESH,2021,1,"112,354","3,159,072","67,676.69","75,927","1,405,878","55,211.07","170,365","2,257,118","72,497.87"
10,BIHAR,2021,1,"6,973","410,166","8,064.68","7,085","75,622","2,831.76","52,990","681,094","15,094.92"
11,SIKKIM,2021,1,130,"3,802",52.67,171,"5,766","2,341.31","1,620","28,732",859.2
12,ARUNACHAL PRADESH,2021,1,125,"3,112",72.38,186,"1,258",83.32,"2,665","29,515",636.59
13,NAGALAND,2021,1,107,"1,524",85.42,262,"1,819",135.36,"2,384","29,958",633.41
14,MANIPUR,2021,1,61,"4,257",72.13,114,534,23.26,"2,503","43,677",718.09
15,MIZORAM,2021,1,125,"2,441",38.11,113,704,113.66,"1,787","29,407",527.08
16,TRIPURA,2021,1,"1,168","30,950",585.75,418,"2,253",281.49,"4,014","37,349",835.62
17,MEGHALAYA,2021,1,320,"12,739",227.8,391,"32,590",645.46,"3,168","41,968",904.85
18,ASSAM,2021,1,"10,885","411,005","7,476.72","9,094","193,920","5,902.64","23,445","307,959","9,950.79"
19,WEST BENGAL,2021,1,"39,632","1,597,194","40,938.05","37,736","720,996","30,149.97","60,448","1,231,824","37,374.04"
20,JHARKHAND,2021,1,"9,097","456,629","10,359.27","7,816","223,232","13,583.54","24,468","396,171","12,060.78"
21,ODISHA,2021,1,"13,943","862,599","18,038.20","5,858","235,595","22,744.03","31,494","421,164","15,561.70"
22,CHHATTISGARH,2021,1,"5,310","245,130","7,449.39","7,964","170,980","13,905.78","23,118","411,949","12,709.43"
23,MADHYA PRADESH,2021,1,"17,326","512,303","10,776.26","19,759","425,069","21,048.05","68,098","896,327","26,393.45"
24,GUJARAT,2021,1,"135,316","3,852,947","105,088.62","127,861","4,134,218","104,041.46","127,061","1,673,552","83,169.36"
25,DAMAN AND DIU,2021,1,0,0,0,1,23,0.21,13,177,4.14
26,DADRA AND NAGAR HAVELI,2021,1,"2,671","122,210","4,355.22","3,646","439,632","14,965.23","5,033","186,909","11,961.71"
27,MAHARASHTRA,2021,1,"124,343","5,616,775","134,632.96","104,904","3,716,118","117,334.66","187,740","2,724,680","111,393.73"
29,KARNATAKA,2021,1,"91,139","3,722,619","63,851.98","47,172","1,810,483","52,505.86","104,026","1,727,230","54,820.03"
30,GOA,2021,1,"1,536","77,429","1,298.27","1,515","60,450","4,269.20","6,779","109,222","3,979.59"
31,LAKSHADWEEP,2021,1,0,0,0,1,1,0.02,40,424,14.89
32,KERALA,2021,1,"38,235","1,419,176","21,101.81","14,092","160,970","7,749.87","51,973","655,850","17,568.30"
33,TAMIL NADU,2021,1,"75,818","3,681,282","72,594.70","64,551","1,823,058","65,720.34","104,434","1,779,362","70,646.86"
34,PUDUCHERRY,2021,1,918,"29,695",847,"1,732","93,632","2,663.94","5,005","94,826","2,548.68"
35,ANDAMAN AND NICOBAR,2021,1,20,421,10.84,41,159,11.4,893,"8,386",238.89
36,TELANGANA,2021,1,"38,172","1,816,958","32,767.75","30,879","668,407","26,900.28","58,323","1,049,577","34,779.13"
37,ANDHRA PRADESH,2021,1,"32,766","1,504,350","24,445.59","20,616","422,130","28,808.54","67,591","871,843","32,040.44"
38,LADAKH,2021,1,23,233,7.95,13,43,3.94,132,786,19.53
97,Other Territory,2021,1,6,168,135.67,23,"3,545",864.53,175,"9,233","1,939.11"
1,JAMMU AND KASHMIR,2020,12,"4,529","150,162","2,444.20","2,582","35,699","2,118.28","17,034","177,612","5,008.72"
2,HIMACHAL PRADESH,2020,12,"7,312","253,829","5,064.26","4,927","274,409","11,418.14","19,498","290,115","9,395.70"
