Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
25,Daman and Diu,10.41,14.83,67.13,0,7.52,10.63,69.2,0.04,9.11,12.99,68.41,0.02,8.9,12.47,68.33,0.01,9.21,13.28,73.85,0.07,7.6,11.58,69.65,0.01,9.67,11.41,76.41,0.04,7.96,11.59,69.28,0.03,7.91,10.98,57.86,0.01,8.62,12.77,79.53,0.01,9.48,13.44,69.23,0.02,10.12,14.14,78.72,0.06
26,Dadra and Nagar Haveli,18.35,26.43,120.43,0.14,13.05,18.91,100.27,0.02,13.37,21.54,89.75,0.02,14.48,22.93,108.03,0.02,14.62,23.05,79.28,0.08,14.22,21.37,99.17,0.19,15.88,26.21,102.32,0.01,15.31,20.58,104.08,0.01,16.85,23.31,88.42,0.02,19.17,31.45,121.76,0.4,17.89,23.98,96.99,0.05,20.42,29.5,124.04,0.12
27,Maharastra,4254.06,5382.56,5963.59,1125.63,3684.42,4606,3960.49,796.5,3898.98,4810.37,4398.22,913.23,3478.17,4529.76,4726.5,1016.69,3468.08,4385.31,4142.54,836.03,3428.64,4292.72,4307.93,1052.22,3671.82,4595.07,5314.06,953.39,3784.05,4771.83,4452.75,924.68,3689.91,4503.08,4517.03,814.08,3850.33,4837.32,5491.97,971.06,3763.41,4752.39,4514.93,1064.1,4380.34,5473.85,4766.99,974.59
29,Karnataka,1608.18,2192.43,2640.19,906.45,1260,1691.95,2102.05,698.12,1317.79,1771.66,2285.64,868.72,1389.42,1919.36,2473.95,993.51,1370.2,1845.95,2225.44,829.63,1316.81,1809.4,2287.52,898.26,1385.81,1880.13,2445.18,876.38,1373.42,1862.31,2486.74,776.08,1453.78,1950.94,2021.54,782.34,1619.03,2193.54,2546.57,970.16,1513.1,2058.44,2133.29,748.64,1709.03,2240.39,2302.19,731.03
30,Goa,89.39,122.13,137.47,3.48,78.8,106.46,129.48,2.79,83.28,113.49,135.33,3.15,73.71,106.01,137.69,1.28,77.07,107.74,120.58,1.41,69.23,101.03,134.42,3.83,76.39,112.69,122.16,1.46,75.97,112.42,134.87,2.18,90.59,126.43,122.79,2.22,99.47,150.8,140.79,2.75,90.58,140.54,167.16,2.51,103.81,148.93,134.44,2
31,Lakshadweep,1.17,1.26,0.09,0,0.06,0.06,0.02,0,3.09,3.13,0.13,0,0.38,0.42,0.08,0,0.17,0.18,0.04,0,0.06,0.47,0,0,0.04,0.05,0.05,0,0.28,0.58,0.02,0,1.67,1.85,0.03,0,0.44,0.6,0.04,0,0.92,1.72,0.05,0,0.28,0.54,0.05,0
32,Kerala,457.51,702.07,232.56,4.02,419.93,658.95,216.05,5.47,426.52,683.9,190,5.59,404.76,657.7,210.7,3.52,351.82,529.94,243.79,3.75,345.11,529.43,164.83,2.87,451.48,787.77,256.72,4.66,440.65,676.36,218.21,4.13,461.35,722.55,227.61,4.45,474.91,821.39,275.22,12.83,447.07,717.84,244.58,6.59,526.98,782.35,319.97,6.14
33,Tamil Nadu,1499.28,2096.08,2395.6,674.98,1388.18,1927.11,1682.28,491.02,1278.2,1806.52,1526.61,575.66,1367.35,1956.13,1636.15,656.16,1395.26,2000.38,1567.44,472.53,1384.41,1976.47,1756.48,616.03,1389.87,2045.88,1902.12,752.69,1462.3,2073.24,1747.45,530.33,1383.79,1987.28,1536.21,507.8,1479.07,2178.52,1917.79,625.92,1510.06,2116.06,1797.36,551.05,1739.84,2335.17,2152.24,713.84
34,Puducherry,20.67,31.38,117.98,0.22,18.21,26.94,110.19,0.16,19.61,27.2,98.99,0.24,20.09,29.17,111.55,0.15,16.95,30.7,101.37,0.1,18.9,29.83,111.9,0.2,18.72,30.56,91.66,0.09,18.75,30.74,117.52,3.18,17.88,29.22,104.65,0.15,20.72,35.54,101.43,1.28,19.4,32.49,123.27,0.16,22.81,33.6,127.18,0.4
35,Andaman and Nicobar Island,21.27,27.06,1.69,0.03,5.6,8.63,1.96,0.03,11.29,13.87,2.47,0.06,4.28,8.38,1.74,0.02,4.12,8.17,1.22,0.09,9.22,12.51,1.17,0.02,3.89,7.43,1.58,0,12.67,16.59,1.45,0.07,7.57,11.78,2.54,0,12.48,18.08,3.95,0.02,9.29,13.27,2.06,0.15,9.65,15.33,2.58,0.08
36,Telangana,715.35,1021.32,1122.86,513.64,547.33,806.84,790.83,474.12,562.37,796.9,792.22,547.87,592.32,843.92,854.61,511.7,566.23,792.95,833.04,467.53,614.98,854.33,784.23,468.28,646.02,904.44,820.14,522.32,717.14,1004.76,795.38,549.22,649.7,907.83,879.94,577.33,711.7,992.46,885.55,604.74,787.04,1041.13,934.48,699.09,970.65,1276.45,1088.54,560.99
37,Andhra Pradesh,529.43,812.46,883.39,25.89,488.45,689.92,762.84,20.87,460.33,668.17,780.49,26.61,483.57,723.34,776.03,43.2,448.51,646.09,777.33,18.83,493.37,692.63,808.7,28.62,548.31,786.62,856.42,20.9,528.95,741.86,858.34,15.73,503.75,697.53,831.58,15.9,538.51,785.8,811.71,22.71,536.88,740.28,795.66,15.56,671.84,912.22,987.55,17.72
97,Other Territory,7.03,18.77,53.49,0,14.05,24.99,686.59,0,13.62,21.75,102.25,0,13.48,22.46,122.64,0,20.39,36.82,143.12,0.49,10.93,18.15,125.47,0,17.03,23.55,110.03,0,26.19,38.14,132.92,0,19.82,33.59,124.41,0,27.1,34.79,131.9,0,13.56,19.84,108,0,20.14,26.71,120.08,0
99,CBIC,0,0,40.36,0,0,0,41.07,0,0,0,45.1,0,0,0,27.97,0,0,0,47.08,0,0,0,49.71,0,0,0,39.61,0,0,0,32.21,0,0,0,91.21,0,0,0,44.9,0,0,0,46.73,0,0,0,73.86,0
